input_file,si,ti,n
Sparks_cut.mkv,46.147,17.201,433
Sparks_cut.mkv,46.222,16.955,434
Sparks_cut.mkv,46.216,16.79,435
Sparks_cut.mkv,46.041,16.691,436
Sparks_cut.mkv,44.985,16.452,437
Sparks_cut.mkv,45.189,16.401,438
Sparks_cut.mkv,45.591,16.736,439
Sparks_cut.mkv,46.262,16.843,440
Sparks_cut.mkv,48.176,17.166,441
Sparks_cut.mkv,48.683,17.546,442
Sparks_cut.mkv,49.038,17.495,443
Sparks_cut.mkv,48.397,17.5,444
Sparks_cut.mkv,48.686,17.66,445
Sparks_cut.mkv,48.383,18.007,446
Sparks_cut.mkv,47.84,17.501,447
Sparks_cut.mkv,47.544,17.179,448
Sparks_cut.mkv,47.069,17.087,449
Sparks_cut.mkv,46.623,16.91,450
Sparks_cut.mkv,46.706,16.857,451
Sparks_cut.mkv,47.32,16.729,452
Sparks_cut.mkv,48.467,16.873,453
Sparks_cut.mkv,47.887,17.063,454
Sparks_cut.mkv,48.437,17.171,455
Sparks_cut.mkv,49.889,17.398,456
Sparks_cut.mkv,49.891,18.096,457
Sparks_cut.mkv,49.531,17.62,458
Sparks_cut.mkv,50.603,17.905,459
Sparks_cut.mkv,50.598,18.206,460
Sparks_cut.mkv,47.416,17.327,461
Sparks_cut.mkv,47.537,17.04,462
Sparks_cut.mkv,47.213,17.11,463
Sparks_cut.mkv,46.099,17.076,464
Sparks_cut.mkv,45.486,16.861,465
Sparks_cut.mkv,45.936,16.689,466
Sparks_cut.mkv,44.698,16.751,467
Sparks_cut.mkv,43.354,16.51,468
Sparks_cut.mkv,42.78,16.246,469
Sparks_cut.mkv,42.405,16.205,470
Sparks_cut.mkv,41.844,15.778,471
Sparks_cut.mkv,41.152,15.69,472
Sparks_cut.mkv,39.933,15.179,473
Sparks_cut.mkv,39.694,15.006,474
Sparks_cut.mkv,38.429,15.098,475
Sparks_cut.mkv,37.474,14.626,476
Sparks_cut.mkv,37.236,14.076,477
Sparks_cut.mkv,37.67,14.336,478
Sparks_cut.mkv,39.349,14.501,479
